Date       ,Season               ,Day Name                     ,Meditation        ,OT Reading                               ,NT Reading
2024-05-15 ,Easter               ,Wednesday of Week 7          ,Psalm             ,Deuteronomy 28                           ,
2024-05-16 ,Easter               ,Thursday of Week 7           ,Psalm             ,Deuteronomy 29-31                        ,
2024-05-17 ,Easter               ,Friday of Week 7             ,Psalm             ,Deuteronomy 32-34                        ,
2024-05-18 ,Easter               ,Saturday of Week 7           ,Psalm             ,                                         ,
2024-05-19 ,Easter               ,PENTECOST/WHITSUNDAY         ,Psalm             ,Ruth 1-4                                 ,Acts 1-2
2024-05-20 ,Second Ordinary Time ,Monday of Week 0             ,Psalm             ,                                         ,Acts 3-4
2024-05-21 ,Second Ordinary Time ,Tuesday of Week 0            ,Psalm             ,                                         ,Acts 5-6
2024-05-22 ,Second Ordinary Time ,Wednesday of Week 0          ,Psalm             ,                                         ,Acts 7-8
2024-05-23 ,Second Ordinary Time ,Thursday of Week 0           ,Psalm             ,                                         ,Acts 9-10
2024-05-24 ,Second Ordinary Time ,Friday of Week 0             ,Psalm             ,                                         ,Acts 11-15
2024-05-25 ,Second Ordinary Time ,Saturday of Week 0           ,Psalm             ,                                         ,
2024-05-26 ,Second Ordinary Time ,TRINITY SUNDAY               ,                  ,Psalm 29                                 ,
2024-05-27 ,Second Ordinary Time ,Monday of Week 1             ,Psalm             ,                                         ,
2024-05-28 ,Second Ordinary Time ,Tuesday of Week 1            ,Psalm             ,                                         ,Acts 16-20
2024-05-29 ,Second Ordinary Time ,Wednesday of Week 1          ,Psalm             ,                                         ,Acts 21-22
2024-05-30 ,Second Ordinary Time ,Thursday of Week 1           ,Psalm             ,                                         ,Acts 23-24
2024-05-31 ,Second Ordinary Time ,Friday of Week 1             ,Psalm             ,                                         ,Acts 25-26
2024-06-01 ,Second Ordinary Time ,Saturday of Week 1           ,Psalm             ,                                         ,Acts 27-28
2024-06-02 ,Second Ordinary Time ,2nd Sunday                   ,Psalm             ,                                         ,
2024-06-03 ,Second Ordinary Time ,Monday of Week 2             ,Psalm             ,Joshua 1-4;Joshua 5-8                    ,
2024-06-04 ,Second Ordinary Time ,Tuesday of Week 2            ,Psalm             ,Joshua 9-12;Joshua 13-21                 ,
2024-06-05 ,Second Ordinary Time ,Wednesday of Week 2          ,Psalm             ,Joshua 22-24                             ,
2024-06-06 ,Second Ordinary Time ,Thursday of Week 2           ,Psalm             ,                                         ,
