SEASON,Meditation,OT READING,NT YEAR A,NT YEAR B,NT YEAR C,Comments
Second Ordinary Time,Psalm,2 Samuel 22-24,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,1 Kings 1-4;1 Kings 4-7,,,,
Second Ordinary Time,Psalm,1 Kings 8-10;1 Kings 11-13,,,,
Second Ordinary Time,Psalm,1 Kings 14-16;1 Kings 17-19,,,,
Second Ordinary Time,Psalm,1 Kings 20-22,,,,
Second Ordinary Time,Psalm,2 Kings 1-3;2 Kings 4-7,,,,
Second Ordinary Time,Psalm,2 Kings 8-11;2 Kings 12-14,,,,
Second Ordinary Time,Psalm,2 Kings 15-17;2 Kings 18-19,,,,
Second Ordinary Time,Psalm,2 Kings 20-22;2 Kings 23-25,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,Isaiah 1-4;Isaiah 5-8,,,,
Second Ordinary Time,Psalm,Isaiah 9-12;Isaiah 13-17,,,,
Second Ordinary Time,Psalm,Isaiah 18-22;Isaiah 23-27,,,,
Second Ordinary Time,Psalm,Isaiah 28-30;Isaiah 31-35,,,,
Second Ordinary Time,Psalm,Isaiah 36-38;Isaiah 39-41,,,,
Second Ordinary Time,Psalm,Isaiah 42-44;Isaiah 45-48,,,,
Second Ordinary Time,Psalm,Isaiah 49-51;Isaiah 52-54,,,,
Second Ordinary Time,Psalm,Isaiah 55-57;Isaiah 58-60,,,,
Second Ordinary Time,Psalm,Isaiah 61-64;Isaiah 65-66,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,Jeremiah 1-3;Jeremiah 4-6,,,,
Second Ordinary Time,Psalm,Jeremiah 7-9;Jeremiah 10-13,,,,
Second Ordinary Time,Psalm,Jeremiah 14-17;Jeremiah 18-22,,,,
Second Ordinary Time,Psalm,Jeremiah 23-25;Jeremiah 26-29,,,,
Second Ordinary Time,Psalm,Jeremiah 30-32;Jeremiah 33-36,,,,
Second Ordinary Time,Psalm,Jeremiah 37-39;Jeremiah 40-44,,,,
Second Ordinary Time,Psalm,Jeremiah 45-48;Jeremiah 49-50,,,,
Second Ordinary Time,Psalm,Jeremiah 51-52,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,Ezekiel 1-4;Ezekiel 5-8,,,,
Second Ordinary Time,Psalm,Ezekiel 9-12;Ezekiel 13-15,,,,
Second Ordinary Time,Psalm,Ezekiel 16-18;Ezekiel 19-21,,,,
Second Ordinary Time,Psalm,Ezekiel 22-24;Ezekiel 25-27,,,,
Second Ordinary Time,Psalm,Ezekiel 28-30;Ezekiel 31-33,,,,
Second Ordinary Time,Psalm,Ezekiel 34-36;Ezekiel 37-39,,,,
Second Ordinary Time,Psalm,Ezekiel 40-44;Ezekiel 45-48,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,Hosea 1-5;Hosea 6-10,,,,
Second Ordinary Time,Psalm,Hosea 11-14,,,,
Second Ordinary Time,Psalm,Joel 1-3,,,,
Second Ordinary Time,Psalm,Amos 1-5;Amos 6-9,,,,
Second Ordinary Time,Psalm,Obadiah 1,,,,
Second Ordinary Time,Psalm,Jonah 1-4,,,,
Second Ordinary Time,Psalm,Micah 1-4;Micah 5-7,,,,
Second Ordinary Time,Psalm,Nahum 1-3,,,,
Second Ordinary Time,Psalm,Habakkuk 1-3,,,,
Second Ordinary Time,Psalm,Zephaniah 1-3,,,,
Second Ordinary Time,Psalm,Haggai 1-2,,,,
Second Ordinary Time,Psalm,Zechariah 1-4;Zechariah 5-8,,,,
Second Ordinary Time,Psalm,Zechariah 9-14,,,,
Second Ordinary Time,Psalm,Malachi 1-2;Malachi 3-4,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,Daniel 1-3;Daniel 4-6,,,,
Second Ordinary Time,Psalm,Daniel 7-9;Daniel 10-12,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,Ezra 1-3;Ezra 4-7,,,,
Second Ordinary Time,Psalm,Ezra 8-10,,,,
Second Ordinary Time,Psalm,Nehemiah 1-3;Nehemiah 4-6,,,,
Second Ordinary Time,Psalm,Nehemiah 7-9;Nehemiah 10-11,,,,
Second Ordinary Time,Psalm,Nehemiah 12-13,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,1 Chronicles 1-10;1 Chronicles 11-14,,,,
Second Ordinary Time,Psalm,1 Chronicles 15-17;1 Chronicles 18-21,,,,
Second Ordinary Time,Psalm,1 Chronicles 22-24;1 Chronicles 25-29,,,,
Second Ordinary Time,Psalm,2 Chronicles 1-4;2 Chronicles 5-8,,,,
Second Ordinary Time,Psalm,2 Chronicles 9-12;2 Chronicles 13-17,,,,
Second Ordinary Time,Psalm,2 Chronicles 18-20;2 Chronicles 21-24,,,,
Second Ordinary Time,Psalm,2 Chronicles 25-27;2 Chronicles 28-31,,,,
Second Ordinary Time,Psalm,2 Chronicles 32-34;2 Chronicles 35-36,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,Romans 1-2;Romans 3-4,,,,
Second Ordinary Time,Psalm,Romans 5-6;Romans 7-8,,,,
Second Ordinary Time,Psalm,Romans 9-10;Romans 11-12,,,,
Second Ordinary Time,Psalm,Romans 13-14;Romans 15-16,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,1 Corinthians 1-2;1 Corinthians 3-4,,,,
Second Ordinary Time,Psalm,1 Corinthians 5-6;1 Corinthians 7-8,,,,
Second Ordinary Time,Psalm,1 Corinthians 9-10;1 Corinthians 11-12,,,,
Second Ordinary Time,Psalm,1 Corinthians 13-14;1 Corinthians 15-16,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,2 Corinthians 1-2;2 Corinthians 3-4,,,,
Second Ordinary Time,Psalm,2 Corinthians 5-6;2 Corinthians 7-8,,,,
Second Ordinary Time,Psalm,2 Corinthians 9-10;2 Corinthians 11-13,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,Galatians 1-2;Galatians 3-4,,,,
Second Ordinary Time,Psalm,Galatians 5-6,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,Ephesians 1-2;Ephesians 3-4,,,,
Second Ordinary Time,Psalm,Ephesians 5-6,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,Philippians 1-2;Philippians 3-4,,,,
Second Ordinary Time,Psalm,Colossians 1-2;Colossians 3-4,,,,
Second Ordinary Time,Psalm,1 Thessalonians 1-2;1 Thessalonians 3-4,,,,
Second Ordinary Time,Psalm,1 Thessalonians 5,,,,
Second Ordinary Time,Psalm,2 Thessalonians 1-3,,,,
Second Ordinary Time,Psalm,1 Timothy 1-3;1 Timothy 4-6,,,,
Second Ordinary Time,Psalm,2 Timothy 1-4,,,,
Second Ordinary Time,Psalm,Titus 1-3,,,,
Second Ordinary Time,Psalm,Philemon 1,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,Hebrews 1-2;Hebrews 3-4,,,,
Second Ordinary Time,Psalm,Hebrews 5-6;Hebrews 7-8,,,,
Second Ordinary Time,Psalm,Hebrews 9-10;Hebrews 11-13,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,James 1-3;James 4-5,,,,
Second Ordinary Time,Psalm,1 Peter 1-2;1 Peter 3-5,,,,
Second Ordinary Time,Psalm,2 Peter 1-3,,,,
Second Ordinary Time,Psalm,1 John 1-2;1 John 3-5,,,,
Second Ordinary Time,Psalm,2 & 3 John 1,,,,
Second Ordinary Time,Psalm,Jude 1,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,Revelation 1-3;Revelation 4-6,,,,
Second Ordinary Time,Psalm,Revelation 7-9;Revelation 10-11,,,,
Second Ordinary Time,Psalm,Revelation 12-13;Revelation 14-16,,,,
Second Ordinary Time,Psalm,Revelation 17-18;Revelation 19-20,,,,
Second Ordinary Time,Psalm,Revelation 21-22,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,,,,,
Second Ordinary Time,Psalm,Ecclesiastes 1-4;Ecclesiastes 5-8,,,,
Second Ordinary Time,Psalm,Ecclesiastes 9-12,,,,
